Homozygous genotype	A genotype comprising an identical set of alleles.
Hybridization	A term often used to describe gene flow between nonhuman populations.
Inbreeding	The selection of mates exclusively from within a small, closed population.
Indels	A class of mutations that includes both insertions and deletions.
Inherited mutation	A mutation that has been passed from parent to offspring.
Insertions	Mutations that involve the addition of one or more nucleotides into a DNA sequence.
Isolation	Prevention of a population subgroup from breeding with other members of the same species due to a physical barrier or, in humans, a cultural rule.
Last Universal Common Ancestor (LUCA)	The ancient organism from which all living things on Earth are descended.
Macroevolution	Changes that result in the emergence of new species, how the similarities and differences between species, as well as the phylogenetic relationships with other taxa, lead to changes that result in the emergence of new species.
Malaria	A frequently deadly mosquito-borne disease caused by infection of the blood by a Plasmodium parasite.
Malignant	Cancerous. Malignant tumors grow aggressively and their cells may metastasize (travel through the blood or lymph systems) to form new, aggressive tumors in other areas of the body.
Microevolution	Changes in allele frequencies within breeding populations—that is, within a single species.
Modern Synthesis	The integration of Darwin’s, Mendel’s, and subsequent research into a unified theory of evolution.
Monosomies	Conditions resulting from a nondisjunction event, in which a cell ends up with only one copy of a chromosome. In humans, a single X chromosome is the only survivable monosomy.
Mutation	A change in the nucleotide sequence of the genetic code. This is one of the forces of evolution.
Natural selection	An evolutionary process that occurs when certain phenotypes confer an advantage or disadvantage in survival and/or reproductive success. This is one of the forces of evolution, and it was first identified by Charles Darwin.
Negative assortative mating	A pattern that occurs when individuals tend to select mates with qualities different from their own.
Neurofibromas	Nerve sheath tumors that are common symptoms of Neurofibromatosis Type 1.
Neurofibromatosis Type 1	An autosomal dominant genetic disorder affecting one in every 3,000 people. It is caused by mutation of the NF1 gene on Chromosome 17, resulting in a defective neurofibromin protein. The disorder is characterized by neurofibromas, café-au-lait spots, and a host of other potential symptoms.
NF1	An abbreviation for Neurofibromatosis Type 1. When italicized, NF1 refers to the gene on Chromosome 17 that encodes the neurofibromin protein.
Nondisjunction events	Chromosomal abnormalities that occur when the homologous chromosomes (in meiosis I) or sister chromatids (in meiosis II and mitosis) fail to separate after pairing. The result is that both chromosomes or chromatids end up in the same daughter cell, leaving the other daughter cell without any copy of that chromosome.
Nonrandom mating	A scenario in which mate choice within a population follows a nonrandom pattern (a.k.a. assortative mating).
Nonsynonymous mutation	A point mutation that causes a change in the resulting protein.
Old Order Amish	A culturally isolated population in Lancaster County, Pennsylvania, that has approximately 50,000 current members, all of whom can trace their ancestry back to a group of approximately eighty individuals. This group has high rates of certain genetics disorders, including Ellis-van Creveld syndrome.
Origins of life	How the first living organism came into being.
Peacock	The male sex of the peafowl, famous for its large, colorful tail, which it dramatically displays to attract mates. (The female of the species is known as a peahen.)
Peppered moth	A species of moth (Biston betularia) found in England that has light and dark phenotypes. During the Industrial Revolution, when soot blackened the trees, the frequency of the previously rare dark phenotype dramatically increased, as lighter-colored moths were easier for birds to spot against the sooty trees. After environmental regulations eliminated the soot, the lighter-colored phenotype gradually became most common again.
Phenotype	The observable traits that are produced by a genotype.
Phylogenetic tree of life	A family tree of all living organisms, based on genetic relationships.
Phylogenies	Genetically determined family lineages.
Plasmodium	A genus of mosquito-borne parasite. Several Plasmodium species cause malaria when introduced to the human bloodstream via a mosquito bite.
Plexiform neurofibromas	Neurofibromas that involve whole branches of nerves, often giving the appearance that the surface of the skin is “melting.”
Point mutation	A single-letter (single-nucleotide) change in the genetic code, resulting in the substitution of one nucleic acid base for a different one.
Polymorphisms	Multiple forms of a trait; alternative phenotypes within a given species.
Population	A group of individuals who are genetically similar enough and geographically near enough to one another that they can breed and produce new generations of individuals.
Population bottleneck	A type of genetic drift that occurs when the number of individuals in a population drops dramatically due to some random event.
Positive assortative mating	A pattern that results from a tendency for individuals to mate with others who share similar phenotypes.
Retrotransposons	Transposons that are transcribed from DNA into RNA, and then are “reverse transcribed,” to insert the copied sequence into a new location in the DNA.
Scutellata honey bees	A strain of honey bees that resulted from the hybridization of African and European honey bee subspecies. These bees were accidentally released into the wild in 1957 in Brazil and have since spread throughout South and Central America and into the United States. Also known as “killer bees,” they tend to be very aggressive in defense of their hives and have caused many fatal injuries to humans and livestock.
Sexual reproduction	Reproduction via meiosis and combination of gametes. Offspring inherit genetic material from both parents.
Sexual selection	An aspect of natural selection in which the selective pressure specifically affects reproductive success (the ability to successfully breed and raise offspring).
Sickle cell anemia	An autosomal recessive genetic disorder that affects millions of people worldwide. It is most common in Africa, countries around the Mediterranean Sea, and eastward as far as India. Homozygotes for the recessive allele develop the disorder, which produce misshapen red blood cells that cause iron deficiency, painful episodes of oxygen-deprivation in localized tissues, and a host of other symptoms. In heterozygotes, though, the sickle cell allele confers a greater resistance to malaria.
Somatic cells	The cells of our organs and other body tissues (all cells except gametes) that replicate by mitosis.
Speciation	The process by which a single population divides into two or more separate species.
Species	Organisms whose individuals are capable of breeding because they are biologically and behaviorally compatible to produce viable, fertile offspring.
Spontaneous mutation	A mutation that occurs due to random chance or unintentional exposure to mutagens. In families, a spontaneous mutation is the first case, as opposed to mutations that are inherited from parents.
Subspecies	A distinct subtype of a species. Most often, this is a geographically isolated population with unique phenotypes; however, it remains biologically and behaviorally capable of interbreeding with other populations of the same species.
Sympatric speciation	When a population splits into two or more separate species while remaining located together without a physical (or cultural) barrier.
Synonymous mutation	A point mutation that does not change the resulting protein.
Transposable elements	Fragments of DNA that can “jump” around in the genome.
Transposon	Another term for “transposable element.”
Trisomies	Conditions in which three copies of the same chromosome end up in a cell, resulting from a nondisjunction event. Down syndrome, Edwards syndrome, and Patau syndrome are trisomies.
Unbalanced translocations	Chromosomal translocations in which there is an unequal exchange of genetic material, resulting in duplication or loss of genes.
UV crosslinking	A type of mutation in which adjacent thymine bases bind to one another in the presence of UV light.
Viable offspring	Offspring that are healthy enough to survive to adulthood.
Xeroderma pigmentosum	An autosomal recessive disease in which DNA repair mechanisms do not function correctly, resulting in a host of problems especially related to sun exposure, including severe sunburns, dry skin, heavy freckling, and other pigment changes.
