Scapula	Flat, triangular bone that connects the upper limb to the pectoral girdle.
Sesamoid bone	Bones that form within a tendon.
Short bone	Bones that are as wide as they are long.
Sphenoid bone	Unpaired bone that forms the anterior part of the base of the skull.
Spine	Elongated ridge on posterior surface.
Spinous process	Posterior projection of vertebral arch at the junction of the lamina.
Squamosal suture	Joint that connects the parietal and temporal bones.
Sternal end of the rib	Anterior part of rib that connects to the sternal body through costal cartilage.
Sternum	Breastbone; flat bone of the anterior chest wall.
Styloid process	Thin projection from the base of the temporal bone.
Styloid process of radius	Projection from the distal radius.
Styloid process of ulna	Projection from the distal ulna.
Subpubic concavity	Depression below the pubic symphysis to the ischiopubic rami.
Superior (or cranial)	Toward the head.
Superior articular process	Superior projections from the vertebral arch that connect to inferior articular processes of the superior vertebra.
Supraorbital margin	External ridge at the superior part of the orbit.
Talus	Ankle bone that articulates with the tibia.
Tarsal bones	The 7 bones at the proximal end of foot; talus, calcaneus, navicular, cuneiforms (medial, intermediate, lateral), and cuboid.
Temporal bone	Paired bones at the lateral and base of the skull that contain the middle and inner ear.
Temporal lines	Ridges on the parietal bone from attachments of temporalis muscle and fascia.
Temporal process of zygomatic bone	Long process that forms the anterior half of the zygomatic arch.
Thoracic region	Trunk region that consists of 12 vertebrae that attach to ribs.
Tibia	Medial bone of the leg.
Tibial tuberosity	Roughened attachment site on the anterior surface of the proximal tibia.
Transverse plane	An imaginary line that divides the body into superior and inferior halves.
Transverse process	Lateral projection at the junction of the pedicle and lamina.
Ulna	Medial bone of the forearm.
Vertebral arch	Circular ring of bone at the posterior vertebra.
Vertebral canal	Cavity that contains the spinal cord.
Vertebral foramen	Opening formed by the vertebral arch.
Viscerocranium	Bones of the cranium that make up the face skeleton.
Vomer	Unpaired bone that forms the inferior part of the bony nasal septum.
Xiphoid process	Lower part of the sternum.
Zygapophyseal (facet) joints	Synovial joints between the superior and inferior articular processes.
Zygomatic arch	Bridge of bone at the cheek.
Zygomatic bone	Paired bones that form the anterior and lateral parts of the mid-face.
Zygomatic process of temporal bone	Long process that forms the posterior half of the zygomatic arch.
Zygomatic process of the maxilla	Portion of the bone that articulates with the zygomatic bone to form the anterior portion of the zygomatic arch.
